function,f5059,f5060,f5061,f5062,f5063,f5064,f5065,f5066,f5067,f5068,f5069,f5070,f5071,f5072,f5073,f5074,f5075,f5076,f5077,f5078,f5079,f5080,f5081,f5082,f5083,f5084,f5085,f5086,f5087,f5088,f5089,f5090,f5091,f5092,f5093,f5094,f5095,f5096,f5097,f5098,f5099,f5100,f5101,f5102,f5103,f5104,f5105,f5106,f5107,f5108,f5109
WM2n,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WM2p,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
WN1n,20,0,0,1,6,0,0,16,0,0,0,0,0,1,0,0,5,4,0,2,4,0,0,3,0,20,16,0,15,0,0,0,4,0,0,0,11,0,37,21,0,0,0,0,0,1,0,0,0,0,0
WN1p,0,2,3,0,0,5,4,0,14,1,1,1,15,0,4,1,0,0,1,0,0,4,4,0,1,0,0,1,0,26,6,7,0,15,3,3,0,5,0,0,1,0,6,0,0,0,0,1,0,1,1
WN2n,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WN2p,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0
WO1n,0,0,0,1,6,0,0,16,0,0,0,0,0,0,0,14,5,0,14,2,0,0,0,3,0,0,0,0,15,0,7,13,4,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,13
WO1p,20,2,3,0,0,5,4,0,91,1,1,1,15,1,4,0,0,4,0,0,4,37,37,0,1,20,16,1,0,26,0,0,0,15,3,3,11,5,0,21,1,10,7,11,12,14,13,1,12,1,0
WO2n,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WO2p,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WT1n,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,4,1,0,0,0,2,0,0,0,0,3,0,0,3,3,0,0,15,0,18,22,0,0,0,0,0,0,0,0,0,0,0,6
WT1p,10,7,16,0,0,15,23,0,60,7,4,5,36,0,15,0,1,6,0,0,5,32,33,0,3,31,16,15,0,85,3,0,0,62,10,0,3,0,0,11,14,4,13,4,4,1,6,2,3,3,0
WT2n,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WT2p,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
time,0,0,0,0.979712,7.41177,0,0,0,0,4.91851,4.06333,4.11131,0,0,0,4.08017,0,0,4.16266,0,0,0,0,0,3.73664,0,0,5.50781,0,0,0,6.5592,0,0,0,5.13695,0,12.2219,0,0,5.68656,6.78231,0,6.35215,6.71163,8.0562,10.3143,0,6.42045,0,5.2623
objective,182,38,72,15,47,65,67,143,271,22,19,20,163,23,71,30,56,62,32,51,69,125,126,59,18,111,96,30,139,273,46,55,57,205,72,55,104,78,156,112,29,36,56,35,34,29,35,19,33,20,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,5.41902,3.88482,6.53237,2.62454,7.36344,6.91002,5.97324,6.71532,12.6055,4.93703,3.90194,4.60148,6.2955,7.1947,10.6437,6.63259,8.71728,8.99426,6.31725,4.08574,5.38462,19.2404,14.3757,3.79525,3.95673,7.60872,6.57924,5.74121,4.93306,7.19947,7.05642,5.92276,3.69634,7.44197,5.09955,5.4758,5.32488,12.619,5.14306,6.13116,5.42315,12.1218,9.47009,12.6584,12.3584,10.2965,11.4442,3.36898,10.2522,3.14792,4.97361
objective,174,38,64,15,47,61,67,137,270,22,19,20,163,23,67,30,52,57,32,40,59,125,126,49,18,108,96,30,139,2.68E+02,44,55,57,200,61,55,104,78,153,112,29,36,55,35,34,29,35,19,33,20,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reduce time,1,1,1,0.626710966,-0.006563508,1,1,1,1,0.003751243,-0.041361477,0.106524423,1,1,1,0.384830059,1,1,0.341064545,1,1,1,1,1,0.055624215,1,1,0.040653451,1,1,1,-0.107456659,1,1,1,0.061881369,1,0.031468421,1,1,-0.048571402,0.440486561,1,0.498186975,0.456917562,0.217578789,0.098731235,1,0.373749049,1,-0.058044358
reduce cost,-8,0,-8,0,0,-4,0,-6,-1,0,0,0,0,0,-4,0,-4,-5,0,-11,-10,0,0,-10,0,-3,0,0,0,-5.000000501,-2,0,0,-5,-11,0,0,0,-3,0,0,0,-1,0,0,0,0,0,0,0,0
